P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P06401749T0000|39 57|arginine vasopressin
P06402859A0000|0 14|Antithrombin III
P06402859A0000|16 20|AT III
P06402859A0000|72 79|thrombin
P06407348A0516|146 150|beta1
P06407348A0516|129 144|cardiac receptors
P06407348A0516|163 183|smooth muscle receptors
P06414990A0057|30 32|TRH
P06433442T0000|37 46|factor VIII
P06434572A0157|283 284|GH
P06434572A0157|65 66|GH
P06434587A0551|29 31|FSH
P06434587A0551|84 86|FSH
P06434587A0551|98 100|LRH
P06441624A0263|22 29|serum BGP
P06460889A0111|72 74|SBP
P06480542A0000|23 32|apalcillin
P06487290A0000|24 32|E2-17 beta
P06495195A0536|57 75|alkaline phosphatase
P06513456T0001|0 12|Adenyl cyclase
P06527872T0000|154 168|acid phosphatase
P06585277A0000|58 81|prostatic acid phosphatase
P06597709A0596|84 97|transfer factor
P06602580A0664|105 122|alpha 1-antitrypsin
P06634712A0557|82 84|PTH
P06667015A0832|131 140|serum CK-MB
P06667868T0001|116 126|BR-1 benzene
P06668316A0178|214 223|phenacetin
P06671065A0000|30 36|insulin
P06671385A0856|36 46|plasma renin
P06675047A0000|40 49|hemoglobin
P06684624A0736|0 29|Urinary N-acetylglucosaminidase
P06685004A0000|58 61|SHBG
P06685643A0179|19 20|C4
P06685643A0179|24 29|C1-INH
P06698047A0445|3 11|Prolactin
P06698047A0445|64 66|TRH
P06702257T0001|0 14|Antithrombin III
P06726257A1179|104 115|methiothepin
P06726257T0000|9 20|methiothepin
P06732946A0281|26 31|fibrin
P06748227A0423|9 13|Case 2
P06755468A0180|41 44|cobA
P06755468A0180|67 73|cob gene
P06763897A0216|56 68|angiotensin II
P06763897A0216|81 84|Sar1
P06782869A0263|148 171|serum alkaline phosphatase
P06782869A0263|136 143|serum LDH
P06784123A0286|82 83|JH
P06784123A0771|3 14|1.9-kb C mu RNA
P06784123T0000|16 36|immunoglobulin C mu gene
P06786756T0000|69 92|immunoglobulin delta genes
P06790572A0330|48 55|nystatin
P06790572A0330|39 46|colistin
P06795119T0000|0 18|Lens aldose reductase
P06795832A0148|53 55|IgM
P06795832A0148|59 61|IgG
P06795900A0000|14 37|fatty acid cyclo-oxygenase
P06796300A0759|18 26|prolactin
P06797063A0000|0 21|Factor VIII procoagulant
P06797063A0000|77 94|ristocetin cofactor
P06805537T0001|31 54|hepatitis-safe factor VIII
P06810694A0328|111 116|apo A-I
P06816123A0526|25 45|glutathione peroxidase
P06816442T0001|17 30|serum myoglobin
P06818113A0384|152 192|plasminogen activator and clotting factor VIII
P06851280A0144|6 15|fibrinogen
P06858805A0314|82 91|Tuberculin
P06858805A0314|68 78|Trycophytin
P06858967A0167|0 24|Serum lactate dehydrogenase
P06858967A0167|28 38|haptoglobin
P06886031A0898|110 117|tolmetin
P06895559A0000|40 51|aminophyllin
P06938948T0001|9 11|IgA
P06946314T0000|5 7|IgE
P06953957A0503|0 20|Whereas creatine kinase
P06953957A0503|66 74|myoglobin
P06957125T0000|38 55|beta 2-adrenoceptor
P06959130A0996|53 87|human factor IX to factor IXa by factor XIa
P06972179A0556|8 10|IgE
P06986168A0304|103 112|V8 protease
P07007591A0324|236 237|RR
P07007591A0324|279 289|transferrin
P07015262A0396|78 80|CRP
P07018810A0002|0 10|Plasma renin
P07038684A1050|165 186|p60 initiator methionine
P07045156A0204|88 106|human immunoglobulin
P07062269A0798|29 42|opioid receptor
P07064923T0000|11 34|phenylalanine hydroxylase
P07080496A0097|88 90|HDL
P07080496A0097|172 174|LDL
P07112320A0086|0 20|CSF adenosine deaminase
P07160491A0547|76 82|LD50/30
P07172690A0547|158 160|SPR
P07172690A0547|78 98|creatine phosphokinase
P07174122A0000|0 18|Serum creatine kinase
P07174122A0000|20 22|SCK
P07184795A0517|44 46|CPK
P07190627T0000|15 41|plasminogen activator release
P07192722A0682|68 71|iPTH
P07240343A0000|0 11|Strontium-90
P07249544A0343|28 46|serum creatine kinase
P07256543A0814|96 112|carboxyhemoglobin
P07260389A0221|38 55|serotonin receptors
P07270163A0684|68 70|CNF
P07270163A0684|181 183|CNF
P07326596A0061|3 5|IgA
P07326596A0061|33 35|IgE
P07385920A0189|69 79|haemoglobin
P07387242A0236|107 116|hemoglobin
P07397066T0000|26 40|aspirin esterase
P07405701T0000|32 55|platelet monoamine oxidase
P07413242A0000|60 64|T1-L3
P07426101A0124|47 76|adipose tissue lipoprotein lipase
P07428037A0989|36 49|mouse mt 12S rRNA
P07440430A1074|185 194|hemoglobin
P07453919A0000|121 146|alkaline and acid phosphatase
P07453919A0000|148 167|non-specific esterase
P07453919A0000|201 203|IgG
P07453919A0000|195 197|IgM
P07473169A0133|82 111|superoxide dismutase and catalase
P07473742A0187|56 65|GATA family
P07473742A0187|10 14|ELT-1
P07474124A1360|184 196|F glycoprotein
P07474140A1036|113 125|ICP27 homologs
P07474140A1036|171 175|C-483
P07476164A1602|136 155|wild-type CspB protein
P07476701A0654|24 36|IgE antibodies
P07476963A0000|0 40|Peroxisome proliferator-activated receptors
P07476963A0000|42 46|PPARs
P07476963A0000|78 100|nuclear hormone receptors
P07476963A0000|51 68|retinoid X receptors
P07476971A0381|57 80|transcription factor Pit-1
P07478523A0551|124 140|RET protein isoform
P07483276A0139|84 86|UL3
P07483276A0139|76 78|UL1
P07483276A0139|80 82|UL2
P07483285A0322|184 196|E7 gene product
P07483285A0322|65 71|MMTV LTR
P07487067A0592|55 58|APS1
P07487363A0447|16 18|IgE
P07487363A0447|23 27|asIgE
P07487811A0000|165 169|PSE-2
P07487811A0000|132 136|PSE-1
P07487908A0230|61 91|chloramphenicol acetyltranferase
P07487908A0230|93 95|CAT
P07488247T0000|20 61|aryl hydrocarbon receptor nuclear translocator
P07488247T0000|78 100|aryl hydrocarbon receptor
P07488291A0934|41 52|somatostatin
P07489502A0000|17 26|NS1 protein
P07490079A0825|73 81|human STEP
P07490079A0825|101 114|murine STEP gene
P07490083A0000|0 17|Carbonic anhydrase V
P07490083A0000|19 21|CA V
P07490278A0799|45 49|Num1p
P07490766T0000|70 88|c-Myc leucine zippers
P07491111A0221|12 13|GR
P07491791A0263|42 44|E1A
P07493327A0507|56 57|U4
P07493327A0507|62 69|U6 snRNAs
P07493327A0507|53 54|U2
P07493627A0882|135 138|EC-1
P07493627A0882|80 87|EC-1 mRNA
P07494244A0335|61 65|c-fos
P07494244A0335|21 23|YY1
P07494244A0335|93 108|ATF/CREB proteins
P07494244A0335|14 19|E1A243
P07494274A1015|129 136|alpha TIF
P07494303A0000|0 33|Human immunodeficiency virus type 1 Vpr
P07494306A0240|28 46|VP16 protein-protein
P07494306A0240|99 102|VP16
P07494314A1287|94 106|LMP2A homologs
P07495726A1189|97 115|Bcl-2 proto-oncogene
P07496400A0525|45 54|HMGR1S mRNA
P07496400A0525|35 43|HMGR1 mRNA
P07496400A0525|107 116|HMGR1L mRNA
P07498727A0724|73 84|rad18 mutator
P07498791A0680|100 112|protein kinase
P07498791A0680|74 77|PBS2
P07499242A0898|49 53|RAFTK
P07499252A0150|143 152|PI 3-kinase
P07499252A0150|67 76|PI 3-kinase
P07499252A0150|2 16|hGM-CSF receptor
P07499401A0444|18 24|hnRNPs H
P07499409A0367|0 3|TPBF
P07499421A0237|93 100|CYP3A1 5'
P07500386A0870|12 24|GapIII protein
P07500950A0000|29 36|rolC gene
P07500953A0305|4 11|ADR1 gene
P07500953A0305|101 108|ADR1 gene
P07501458A0578|44 46|LIP
P07501458A0578|50 56|CHOP-10
P07504171A0715|103 114|Src SH2 domain
P07504171A0715|38 43|PDGF-R
P07504171A0715|156 158|Src
P07504171A0715|136 152|PDGF-R binding site
P07504171A0715|1 36|platelet-derived growth factor receptor
P07504171A1214|130 141|Src SH2 domain
P07505798A0000|100 135|class I major histocompatibility complex
P07505798A0000|137 139|MHC
P07505798A0000|57 60|H2N2
P07506253A0742|28 30|K19
P07506253A0742|34 49|TK basal promoters
P07507207A0991|17 30|IRF binding site
P07507207A0991|124 128|IRF-1
P07507207A0991|48 60|IRF-2 promoter
P07507207A0991|80 88|IRF-2 gene
P07508140A0448|0 23|Hepatitis B surface antigen
P07508441A0487|234 248|bovine annexin XI
P07508441A0487|267 273|56K cDNA
P07508441A0487|284 308|human homologue of annexin XI
P07508954A0000|3 32|avidin-biotin complex peroxidase
P07509053A0139|48 52|c-Myb
P07509449A0000|187 198|SH3 sequences
P07509449A0000|181 183|SH2
P07509449A0000|24 44|avian sarcoma virus CT10
P07509449A0000|95 111|viral Gag sequences
P07509449A0000|157 175|Src homology regions 2
P07509450A0705|155 163|HSV tk gene
P07509450A0705|53 61|HSV tk gene
P07510635A0479|190 194|Pol II
P07510635A0479|197 202|Pol III
P07511496A1511|33 42|E-selectin
P07511818A0485|201 221|human IFN-beta sequence
P07511818A0485|86 93|human IFN
P07512258A0441|138 142|G-CSF
P07513703T0000|15 54|SH2-containing protein tyrosine phosphatase
P07513703T0000|56 62|SH-PTP2
P07513703T0000|111 136|insulin receptor substrate-1
P07514295A0000|102 104|TCR
P07514295A0000|80 100|T-cell antigen receptor
P07514301A0000|48 50|PKR
P07514301A0000|21 46|RNA-dependent protein kinase
P07516466A1054|184 187|CREB
P07516466A1054|38 63|simian virus 40 small t antigen
P07516466A1054|83 86|PP2A
P07516469A1025|7 28|Src SH3-binding proteins
P07516597A1017|98 115|viral proteinase NS3
P07516866A0000|1 22|full-length PRL receptor
P07516866A0000|24 27|PRLR
P07518257A0351|28 37|S1 nuclease
P07518426A0000|72 86|C-X-C chemokines
P07518426A0000|14 17|IL-8
P07518561A0496|78 91|TCR/CD3 complex
P07518561A0496|22 48|p72syk protein tyrosine kinase
P07518578A0000|41 49|pp60v-src
P07518578A0000|79 87|pp60c-src
P07519447T0000|38 67|endothelial nitric oxide synthase
P07520098A0211|15 33|Db mutant B6.CH-2bm13
P07521009A0377|18 21|pms2
P07521009A0377|13 16|pms1
P07521601A0000|0 25|Hematopoietic growth factors
P07522163T0000|15 37|horse cytochrome c peptide
P07522163T0000|89 91|MHC
P07522163T0000|48 87|H-2b class I major histocompatibility complex
P07523363A0440|91 119|USF2 translation initiation site
P07523710T0000|40 67|serum prostate specific antigen
P07524265T0000|45 49|G-CSF
P07524265T0000|9 43|granulocyte-colony stimulating factor
P07525548A1380|118 120|CS1
P07525548A1380|128 146|fibronectin variants
P07525596A0584|122 127|PPIase
P07525843A0859|169 218|H-2b and H-2d major histocompatibility complex molecules
P07525843A0859|11 30|H-2b or H-2d NP peptides
P07525843A0859|55 67|H-2b NP peptide
P07526609A0736|59 78|PKR activator sequence
P07526609A0736|102 103|S4
P07526609A0736|20 25|sigma 3
P07528028A1192|143 147|FGF-1
P07528028A1192|39 63|FGF-1 cell surface receptors
P07528325A0165|45 54|GH receptor
P07528325A0165|67 71|Stat1
P07528531A0904|18 22|G-CSF
P07528531A0904|140 142|CRP
P07528746A1049|218 221|RHL1
P07528772A0616|43 48|ZAP-70
P07528772A0616|111 148|glutathione S-transferase fusion proteins
P07528772A0616|309 315|TCR zeta
P07528772A0616|273 284|TCR zeta chain
P07528772A0616|67 69|TCR
P07528772A0616|197 202|ZAP-70
P07528772A0616|286 292|TCR zeta
P07528772A0616|319 337|CD3 epsilon TAM motifs
P07528772A1539|105 110|ZAP-70
P07529516A0474|59 62|EDXR
P07530502T0000|89 112|c-kit gene-encoded protein
P07530502T0000|46 59|tyrosine kinase
P07533758A1038|42 53|RfbB homologs
P07533758A1038|35 38|RfbA
P07533858A1503|121 127|GP64 EFP
P07533880T0000|3 13|FinO protein
P07533880T0000|62 69|traJ mRNA
P07533880T0000|33 48|FinP antisense RNA
P07534285A0155|99 115|murine Mpl receptor
P07534286A0842|1 19|chicken paxillin cDNA
P07534286A0842|90 103|human paxil-lin
P07534297A0141|135 137|CAT
P07534297A0141|102 133|chloramphenicol acetyltransferase
P07534297A0141|69 91|human AP endonuclease gene
P07535593A0714|5 45|CD3- T-cell precursors exhibit V delta 2D delta 3
P07535768A1076|0 7|HVH2 mRNA
P07535768A1076|67 75|mouse MKP1
P07535768A1076|80 83|PAC1
P07535768A1076|108 128|MAP kinase phosphatases
P07537267A2094|188 204|gamma-globin genes
P07537267A2094|74 79|HPFH-3
P07537736A0453|47 50|PRLR
P07537736A0453|166 192|cytokine receptor superfamily
P07537851A0000|133 176|interleukin-1 beta and tumor necrosis factor alpha
P07537851A0000|18 46|vascular cell adhesion molecule 1
P07537851A0000|178 186|TNF-alpha
P07537851A0891|120 124|IRF-1
P07537851A0891|156 160|IRF-1
P07537851A0891|130 148|VCAM1 IRF binding site
P07537851A0891|54 73|high-mobility-group I
P07537851A0891|195 214|high-mobility-group I
P07537851A0891|185 187|p50
P07538122A0800|37 47|Fab fragment
P07538122A0800|49 53|Fab A8
P07538173A0307|0 37|MBP-Rep68 delta-mediated DNA-RNA helicase
P07538818A0197|221 224|IL-3
P07538818A0197|154 160|hG-CSFR
P07538818A0197|201 219|murine interleukin-3
P07538818A0197|60 66|hG-CSFR
P07539119A0291|86 98|G128R mutation
P07539119A0291|155 165|G128R mutant
P07539119A0291|51 67|c-abl kinase domain
P07539119A0985|44 55|Abl SH3 domain
P07540607A0709|63 81|human immunoglobulin
P07540773A0576|17 19|MBP
P07540773A0576|11 13|NSE
P07540866A1069|14 20|insulin
P07540866A1069|55 63|MAP kinase
P07542616A0313|0 4|GCD10
P07542616A0313|61 64|GCN4
P07542616A0486|0 4|GCD10
P07542616A0486|123 127|eIF-3
P07543592A0624|39 56|wild-type E5 protein
P07543684A1027|32 34|PKA
P07543684A1027|65 72|CFTR gene
P07544357A0808|147 157|CD44 variant
P07544357A0808|4 8|PPC-1
P07544357A0808|159 163|CD44v
P07545920A1336|23 32|hsiggll150
P07546294A0000|3 15|RAD6/UBC2 gene
P07547500A0066|96 115|chicken l kappa B-alpha
P07547500A0066|78 81|GAL4
P07547510A0261|244 256|HNF-3 beta gene
P07547510A0261|52 72|-184 HNF-3 beta promoter
P07547510A0261|206 214|LF-H3 beta
P07557091A0314|16 32|human serum albumin
P07557276A0526|0 22|Alanine aminotransferase
P07557424A0124|0 3|XYL1
P07557446T0000|37 45|VCSA1 gene
P07558583A0562|129 150|Src-like tyrosine kinase
P07559233A0534|0 14|Citrate synthase
P07559355A0066|40 45|urease
P07559356T0000|3 16|hypBFCDE operon
P07559356T0000|115 122|fnrN gene
P07559402A0622|59 72|protein kinase C
P07559402A0622|109 111|PKA
P07559402A0622|94 107|protein kinase A
P07559402A0622|74 76|PKC
P07559488A0440|75 90|estradiol-17 beta
P07559510A0000|97 115|16-kDa endonuclease V
P07559510A0000|8 38|Micrococcus luteus UV endonuclease
P07559524A0741|0 15|Cyclin D1 promoter
P07559524A0741|55 84|mitogen-activated protein kinase
P07559524A0741|86 92|p41MAPK
P07559555A0557|13 17|c-Jun
P07559639A0996|14 21|R206S HSF
P07559650A0558|56 58|E2F
P07559650A0558|27 34|PCNA gene
P07563072A0773|13 23|rrnB P1-lacZ
P07563076A0766|173 175|ai4
P07563090A0124|182 204|integrase coding sequence
P07563090A0124|144 147|PPT1
P07563090A0124|206 209|PPT2
P07563090A0124|170 176|pol gene
P07563090A0124|60 74|yeast Ty1 element
P07565104A0084|28 31|tcpA
P07565104A0084|48 51|ToxR
P07565104A0084|18 26|pilin gene
P07565669T0000|87 122|myogenic basic helix-loop-helix factors
P07565672A0798|42 46|arg-2
P07565672A0798|50 54|cpc-1
P07565672A0798|80 84|cox-5
P07565685A0420|48 56|GABP alpha
P07565685A0420|60 68|GABP beta 1
P07565712A0286|26 33|LYS2 gene
P07565713A0634|16 19|SCS1
P07565713A0634|107 111|Hsp60
P07565720A0256|21 24|NirA
P07565720A0256|60 83|glutathione S-transferase
P07565736A2134|51 77|GM-CSF receptor alpha promoter
P07565740T0000|62 104|Pdr5 ATP-binding cassette multidrug transporter
P07565776A0612|15 18|HOG1
P07565776A0612|22 30|PBS2 genes
P07565776A0612|120 123|Hog1
P07565797A0116|64 71|CRY2 mRNA
P07565797A0116|24 27|CRY1
P07567979A1266|78 92|testis receptor 2
P07567980T0000|4 23|p53 DNA-binding domain
P07568026A0622|3 12|Stat5b mRNA
P07568118A1267|152 186|growth factor tyrosine kinase receptors
P07568118A1267|23 46|G beta gamma-stimulated Shc
P07574682T0000|23 69|feline liver/bone/kidney-type alkaline phosphatase
P07575416A0000|0 13|Protein kinase C
P07575416A0000|15 17|PKC
P07575416A1970|98 108|PKC zeta mRNA
P07576307A0144|72 84|rat enkephalin
P07576307A1654|155 157|ENK
P07579164A0409|72 80|atp9 genes
P07579328A0653|0 28|MZF-1 represses CAT reporter gene
P07579328A0653|42 57|GAL4 binding sites
P07579328A1345|38 63|MZF-1 represses reporter gene
P07579683A0660|86 98|c-myc promoter
P07579683A0660|10 31|hGMR beta subunit mutants
P07579695A0336|140 149|NDC10/CBF2
P07579695A0336|130 138|CBF1/CPF1
P07579695A0693|61 65|Cep1p
P07579695A0693|37 47|Mif2 protein
P07579704A0085|17 27|actin cables
P07580058A0000|88 116|plasminogen activator inhibitor
P07580058A0000|48 78|tissue-type plasminogen activator
P07582592A0545|151 164|botulinum toxin
P07583562A1826|115 119|LDL-C
P07585559A0000|164 199|human smooth muscle alpha-actin promoter
P07588240A0000|103 128|interleukin-1 beta (IL-1 beta
P07588240A0000|3 46|Caenorhabditis elegans death susceptibility gene
P07588240A0000|48 52|ced-3
P07588240A0000|166 170|CPP32
P07588240A0000|148 150|ICE
P07588245T0000|103 104|TR
P07588245T0000|80 101|thyroid hormone receptor
P07588603A1054|60 76|DH regulatory sites
P07588608A1687|16 27|ERF repressor
P07588628A0318|16 27|wild-type p53
P07588633A0362|19 43|c-fos protooncogene product
P07588633A0362|10 14|c-Fos
P07588777A1524|96 112|p44mapk MAP kinases
P07588777A1524|41 49|RNAP II CTD
P07589069A1245|160 166|CD6-PB1
P07589069A1245|44 55|human CD6 cDNA
P07590264A0373|87 90|DHFR
P07590268A0350|104 121|mammalian MAPKAPK-2
P07590283A0820|30 43|Pol beta protein
P07590283A0820|252 280|Pol beta possesses ssDNA-binding
P07590283A0820|120 126|Pol beta
P07590744A0829|95 102|GAR1 gene
P07592337A0891|25 28|NfxB
P07592485A0734|148 164|ure2 delta mutation
P07592647A0797|21 46|Pur alpha recognition element
P07592647T0000|55 56|Rb
P07592647T0000|13 25|human Pur alpha
P07592647T0000|33 53|retinoblastoma protein
P07592647T0000|97 122|Pur alpha recognition element
P07592706A1465|13 15|LPL
P07592710T0000|3 38|interferon-inducible protein kinase PKR
P07592710T0000|78 100|immunoglobulin kappa gene
P07592711T0000|57 76|G protein alpha subunit
P07592723A0814|102 104|PKC
P07592723A0814|40 53|CSK 35H proteins
P07592730A0204|32 36|PTX-3
P07592730A0204|178 183|TSG-14
P07592730A0204|8 20|TSG-14 protein
P07592771A0258|116 136|alpha 1-syntrophin gene
P07592771A0258|3 27|mouse beta 2-syntrophin gene
P07592946A0261|27 81|murine p44 MAP kinase (extracellular signal-regulated kinase 1
P07592946A0997|170 172|Sp1
P07592946A0997|238 242|Ets-1
P07592946A0997|220 222|Myb
P07592946A0997|180 199|GC-rich binding factor
P07592946A0997|207 213|CTF-NF1
P07592946A0997|261 264|MyoD
P07592946A0997|249 254|NF-IL6
P07592946A0997|72 78|AP-1 box
P07592946A0997|83 89|AP-2 box
P07592946A0997|285 309|hepatocyte nuclear factor-5
P07592946A0997|229 231|p53
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P07595221A0733|41 65|endogenous MHC class II genes
P07595221A0733|97 115|MHC class II promoters
P07595374A1215|202 213|LMP1 promoter
P07595374A1215|12 16|EBNA2
P07595857A0521|132 135|PVS1
P07596287A0183|72 75|ORF5
P07596287A0183|149 192|ATP-binding cassette membrane transport proteins
P07596287A0183|79 82|ORF1
P07596558A0824|42 49|IL-1 beta
P07597488T0000|22 25|G6PD
P07597804A1007|68 87|glycoprotein gene EUS4
P07601445A0207|55 74|rat p47 nuclear protein
P07601445A0207|165 181|DEAD protein family
P07601445A0207|79 102|WM6 Drosophila gene product
P07601445A0207|16 37|BAT1 translation product
P07601828A0095|87 100|orfX-fliP locus
P07604047A0704|36 62|GA 20-oxidase genomic sequence
P07604047A0704|238 241|GA44
P07605990A1110|70 83|GM-CSF promoter
P07605990A1110|162 174|PEBP2 isoforms
P07605990A1110|60 64|PEBP2
P07607197A1048|5 15|plasma renin
P07607342A0703|70 84|aldose reductase
P07607537A0954|98 101|VP16
P07607669A1112|92 94|Sp1
P07608268A0194|32 35|GnRH
P07608649A1429|67 70|ET-1
P07608968A0836|149 151|TBP
P07608968A0836|17 26|Tat mutants
P07609037A0775|22 26|Oct-1
P07609079A0387|143 171|basal transcription factor TFIIB
P07609079A0387|112 119|T3R alpha
P07609079A0387|20 27|HIV-1 LTR
P07609079A0387|30 37|T3R alpha
P07610052A1064|43 45|C30
P07610052A1064|49 60|C35 complexes
P07610052A1064|39 41|C25
P07610052A1064|203 216|rat APP promoter
P07615541T0000|20 26|DNase-I
P07615541T0000|51 88|mouse porphobilinogen deaminase gene locus
P07616056A0278|9 30|gamma 2b heavy chain genes
P07616563A0532|8 11|CarP
P07616563A0532|65 70|DNase I
P07616569A0168|42 58|cytochrome oxidase
P07616569A0168|107 130|NADH dehydrogenase complex
P07616569A0168|150 163|ATPase subunits
P07616569A0168|223 243|four ribosomal proteins
P07622058A0411|3 20|PEBP2 alpha proteins
P07622521A0418|154 160|beta ARK
P07622521A0418|89 96|PH domain
P07622521A0418|206 215|G beta gamma
P07622521A0418|27 58|G beta gamma binding region of beta ARK
P07623807A0162|25 55|wild-type and mutant Raf-1 proteins
P07623814A1040|42 58|estrogen receptors
P07623814A1040|132 133|ER
P07623821A0649|18 22|HRF-1
P07623821T0000|80 110|myocyte-specific enhancer factor 2
P07623821T0000|12 26|Gax homeobox gene
P07623825T0000|43 58|heat shock factor 1
P07623840A0352|49 52|GCN2
P07623844A0639|101 105|H-ras
P07623844A0639|25 38|E1B 19K proteins
